OTU,ALancangBesar,BPari,CTidung,DKarangBeras,EPramuka,FKotok,GSepa
50,ASV382,1,1,1,1,1,1,1
51,ASV385,1,1,1,1,1,1,1
52,ASV391,1,1,1,1,1,1,1
53,ASV393,1,1,1,1,1,1,1
54,ASV400,1,1,1,1,1,1,1
55,ASV422,1,1,1,1,1,1,1
56,ASV426,1,1,1,1,1,1,1
57,ASV445,1,1,1,1,1,1,1
58,ASV449,1,1,1,1,1,1,1
59,ASV450,1,1,1,1,1,1,1
60,ASV452,1,1,1,1,1,1,1
61,ASV463,1,1,1,1,1,1,1
62,ASV464,1,1,1,1,1,1,1
63,ASV465,1,1,1,1,1,1,1
64,ASV474,1,1,1,1,1,1,1
65,ASV478,1,1,1,1,1,1,1
66,ASV483,1,1,1,1,1,1,1
67,ASV488,1,1,1,1,1,1,1
68,ASV499,1,1,1,1,1,1,1
69,ASV512,1,1,1,1,1,1,1
70,ASV523,1,1,1,1,1,1,1
71,ASV524,1,1,1,1,1,1,1
72,ASV532,1,1,1,1,1,1,1
73,ASV539,1,1,1,1,1,1,1
74,ASV550,1,1,1,1,1,1,1
75,ASV573,1,1,1,1,1,1,1
76,ASV578,1,1,1,1,1,1,1
77,ASV586,1,1,1,1,1,1,1
78,ASV593,1,1,1,1,1,1,1
79,ASV597,1,1,1,1,1,1,1
80,ASV607,1,1,1,1,1,1,1
81,ASV609,1,1,1,1,1,1,1
82,ASV611,1,1,1,1,1,1,1
83,ASV612,1,1,1,1,1,1,1
84,ASV614,1,1,1,1,1,1,1
85,ASV618,1,1,1,1,1,1,1
86,ASV626,1,1,1,1,1,1,1
87,ASV647,1,1,1,1,1,1,1
88,ASV649,1,1,1,1,1,1,1
89,ASV656,1,1,1,1,1,1,1
90,ASV658,1,1,1,1,1,1,1
91,ASV667,1,1,1,1,1,1,1
92,ASV669,1,1,1,1,1,1,1
93,ASV679,1,1,1,1,1,1,1
94,ASV693,1,1,1,1,1,1,1
95,ASV696,1,1,1,1,1,1,1
96,ASV701,1,1,1,1,1,1,1
97,ASV716,1,1,1,1,1,1,1
98,ASV719,1,1,1,1,1,1,1
99,ASV721,1,1,1,1,1,1,1
100,ASV724,1,1,1,1,1,1,1
101,ASV731,1,1,1,1,1,1,1
102,ASV735,1,1,1,1,1,1,1
103,ASV740,1,1,1,1,1,1,1
104,ASV741,1,1,1,1,1,1,1
105,ASV744,1,1,1,1,1,1,1
106,ASV749,1,1,1,1,1,1,1
107,ASV761,1,1,1,1,1,1,1
108,ASV780,1,1,1,1,1,1,1
109,ASV802,1,1,1,1,1,1,1
110,ASV806,1,1,1,1,1,1,1
111,ASV809,1,1,1,1,1,1,1
112,ASV814,1,1,1,1,1,1,1
113,ASV815,1,1,1,1,1,1,1
114,ASV817,1,1,1,1,1,1,1
115,ASV821,1,1,1,1,1,1,1
116,ASV826,1,1,1,1,1,1,1
117,ASV835,1,1,1,1,1,1,1
118,ASV836,1,1,1,1,1,1,1
119,ASV839,1,1,1,1,1,1,1
120,ASV841,1,1,1,1,1,1,1
121,ASV848,1,1,1,1,1,1,1
122,ASV852,1,1,1,1,1,1,1
123,ASV853,1,1,1,1,1,1,1
124,ASV858,1,1,1,1,1,1,1
125,ASV869,1,1,1,1,1,1,1
126,ASV871,1,1,1,1,1,1,1
127,ASV894,1,1,1,1,1,1,1
128,ASV897,1,1,1,1,1,1,1
129,ASV902,1,1,1,1,1,1,1
130,ASV908,1,1,1,1,1,1,1
131,ASV915,1,1,1,1,1,1,1
132,ASV924,1,1,1,1,1,1,1
133,ASV926,1,1,1,1,1,1,1
134,ASV928,1,1,1,1,1,1,1
135,ASV929,1,1,1,1,1,1,1
136,ASV937,1,1,1,1,1,1,1
137,ASV945,1,1,1,1,1,1,1
138,ASV946,1,1,1,1,1,1,1
139,ASV950,1,1,1,1,1,1,1
140,ASV960,1,1,1,1,1,1,1
141,ASV962,1,1,1,1,1,1,1
142,ASV963,1,1,1,1,1,1,1
143,ASV964,1,1,1,1,1,1,1
144,ASV969,1,1,1,1,1,1,1
145,ASV979,1,1,1,1,1,1,1
146,ASV982,1,1,1,1,1,1,1
147,ASV984,1,1,1,1,1,1,1
148,ASV994,1,1,1,1,1,1,1
149,ASV1007,1,1,1,1,1,1,1
150,ASV1010,1,1,1,1,1,1,1
