OTU,ALancangBesar,BPari,CTidung,DKarangBeras,EPramuka,FKotok,GSepa,Rowsums
ASV2793,101,524,1295,556,664,873,1093,5106
ASV255,293,385,732,887,902,429,1386,5014
ASV817,17,444,690,1208,307,1119,1137,4922
ASV184,408,900,431,593,761,1074,691,4858
ASV2955,237,958,212,526,1236,542,1067,4778
ASV1927,277,298,897,779,1458,229,785,4723
ASV4812,235,742,313,813,716,984,869,4672
ASV4310,123,503,1171,618,628,675,937,4655
ASV11374,429,605,1194,343,995,438,540,4544
ASV17283,2,32,6,809,578,473,2641,4541
ASV108,156,722,793,519,880,770,682,4522
ASV597,570,611,872,526,605,639,628,4451
ASV4245,291,611,785,718,803,632,592,4432
ASV13574,128,287,1167,1928,298,323,275,4406
ASV4822,490,747,124,529,673,937,896,4396
ASV5104,284,523,216,773,646,640,1198,4280
ASV4402,362,483,213,397,536,1307,972,4270
ASV6188,200,822,453,451,547,1043,657,4173
ASV1546,2542,66,23,394,522,423,181,4151
ASV6171,232,405,481,380,872,1015,761,4146
ASV3860,211,470,285,516,663,929,1070,4144
ASV5217,243,489,122,680,771,1415,415,4135
ASV19837,530,610,501,1319,193,356,590,4099
ASV8748,0,0,0,0,4052,0,0,4052
ASV8418,88,1133,11,1072,1089,373,204,3970
ASV618,329,370,487,606,752,361,993,3898
ASV8159,332,478,253,405,1217,738,468,3891
ASV6881,265,537,244,553,676,920,671,3866
ASV8315,14,700,1043,1039,609,307,111,3823
ASV9298,1189,164,148,97,493,1328,327,3746
ASV3372,379,343,629,511,1008,453,422,3745
ASV1804,27,1101,202,643,337,900,451,3661
ASV731,158,403,231,2684,74,29,69,3648
ASV4578,295,590,273,451,729,661,627,3626
ASV3965,195,424,697,797,628,325,533,3599
ASV3438,318,233,518,603,736,271,843,3522
ASV11804,186,343,569,681,519,618,568,3484
ASV5325,136,369,822,429,382,570,729,3437
ASV9060,146,138,67,2095,843,28,24,3341
ASV1439,47,1864,143,859,77,240,94,3324
ASV20303,149,411,546,478,523,569,615,3291
ASV826,148,323,638,500,492,452,719,3272
ASV696,181,366,241,494,550,737,677,3246
ASV449,73,28,79,2800,89,88,71,3228
ASV7133,36,160,1091,261,186,528,933,3195
ASV4421,113,199,863,664,351,639,341,3170
ASV17163,9,56,2272,22,1,644,143,3147
ASV1054,67,906,439,917,244,238,325,3136
ASV6079,135,194,559,658,775,485,320,3126
ASV12084,267,324,461,515,610,469,458,3104
ASV5450,139,326,281,195,527,753,832,3053
ASV658,203,356,521,475,570,437,439,3001
ASV1212,231,276,841,417,428,439,366,2998
ASV3460,315,227,909,719,272,300,227,2969
ASV5809,59,334,500,324,542,443,724,2926
ASV858,7,537,148,884,506,544,276,2902
ASV3546,117,211,351,912,580,154,572,2897
ASV3634,192,809,197,105,884,698,12,2897
ASV4094,741,150,112,497,253,488,625,2866
ASV969,85,358,161,243,334,942,722,2845
ASV8320,31,520,93,600,479,146,914,2783
ASV3119,71,201,105,169,463,335,1434,2778
ASV19190,0,1974,1,0,799,0,0,2774
ASV4356,359,336,473,421,454,370,338,2751
ASV16583,38,670,824,89,40,1016,34,2711
ASV5445,73,376,196,356,416,652,633,2702
ASV945,584,95,11,689,121,621,555,2676
ASV3118,104,522,151,391,297,706,482,2653
ASV189,82,82,996,282,213,543,451,2649
ASV3583,158,0,2443,0,0,0,0,2601
ASV647,129,410,309,257,244,891,351,2591
ASV3970,206,376,106,159,298,994,448,2587
ASV4280,175,225,522,516,520,305,262,2525
ASV1338,56,378,662,315,395,443,268,2517
ASV1872,110,394,466,276,349,464,435,2494
ASV2406,62,237,190,78,66,1701,150,2484
ASV1099,138,277,242,412,622,146,586,2423
ASV7875,54,251,395,280,570,353,468,2371
ASV4736,319,197,272,542,517,115,401,2363
ASV13599,1,112,843,234,108,1023,41,2362
ASV2008,94,164,526,319,546,329,364,2342
ASV6618,204,406,384,312,698,111,210,2325
ASV2526,6,1128,499,480,199,0,0,2312
ASV19380,25,13,2,1450,362,260,166,2278
ASV2981,164,670,42,355,498,463,35,2227
ASV1706,264,246,331,448,462,186,280,2217
ASV8578,249,237,121,197,399,400,613,2216
ASV735,137,356,706,168,291,299,258,2215
