OTU,ALancangBesar,BPari,CTidung,DKarangBeras,EPramuka,FKotok,GSepa,Rowsums
ASV3637,0,70,53,45,50,119,169,506
ASV9242,31,80,86,121,74,55,59,506
ASV4212,28,17,51,105,156,76,72,505
ASV8105,19,22,114,100,100,78,70,503
ASV2155,5,0,0,5,492,0,0,502
ASV5667,6,5,185,89,81,96,40,502
ASV1499,20,85,91,40,123,52,90,501
ASV1634,0,109,0,384,7,0,0,500
ASV4195,0,18,112,22,10,22,316,500
ASV1093,21,54,99,49,46,89,140,498
ASV14285,9,65,48,254,60,26,35,497
ASV21984,0,0,0,0,496,0,0,496
ASV7270,0,22,90,100,95,110,78,495
ASV8169,3,15,106,131,13,115,110,493
ASV809,134,43,16,161,68,53,15,490
ASV9475,50,22,15,42,41,0,318,488
ASV18586,33,46,18,212,107,17,53,486
ASV1372,66,37,67,18,99,139,59,485
ASV8185,3,44,75,0,22,3,338,485
ASV1130,74,34,105,47,59,129,33,481
ASV332,10,0,98,0,45,123,203,479
ASV6500,13,83,38,23,39,132,151,479
ASV8808,42,74,86,78,70,68,60,478
ASV7967,6,33,111,51,60,114,99,474
ASV4309,0,9,61,22,164,85,132,473
ASV16454,1,17,39,67,182,117,50,473
ASV323,16,55,85,33,162,72,47,470
ASV2786,14,66,89,67,88,36,110,470
ASV157,24,23,0,157,173,3,89,469
ASV168,32,10,74,28,99,59,167,469
ASV3258,38,19,44,48,171,36,113,469
ASV984,191,17,43,63,25,120,9,468
ASV1819,40,38,60,93,157,58,21,467
ASV425,0,36,0,129,35,200,66,466
ASV2129,58,17,11,17,183,16,164,466
ASV6828,36,22,102,97,110,89,10,466
ASV2972,15,60,124,80,45,46,95,465
ASV8056,6,51,53,76,38,54,187,465
ASV2281,67,69,63,93,118,34,18,462
ASV1236,0,30,199,17,23,121,71,461
ASV1898,0,37,138,100,41,103,42,461
ASV8637,17,35,5,109,136,19,140,461
ASV749,43,43,98,101,76,76,20,457
ASV6368,60,14,52,104,0,142,85,457
ASV7150,5,18,69,70,92,88,115,457
ASV7606,32,96,96,25,37,123,48,457
ASV2753,2,32,126,55,38,199,3,455
ASV4535,0,0,5,59,196,83,112,455
ASV21330,0,5,0,180,270,0,0,455
ASV2481,0,27,25,115,155,129,3,454
ASV1963,5,25,113,82,80,48,99,452
ASV4146,3,29,17,74,95,87,147,452
ASV5442,9,42,83,41,110,82,83,450
ASV10391,38,26,107,74,46,115,44,450
ASV10322,12,36,98,49,42,160,52,449
ASV1023,24,33,40,72,93,109,77,448
ASV4868,12,54,78,73,80,68,83,448
ASV9304,0,0,155,0,28,0,264,447
ASV9383,33,49,87,75,46,111,46,447
ASV10595,27,36,87,88,71,49,89,447
ASV18004,26,29,86,82,52,103,66,444
ASV2848,28,29,83,36,106,116,45,443
ASV6264,22,15,25,73,122,104,82,443
ASV1619,11,335,0,10,6,78,0,440
ASV18858,11,41,31,46,73,104,134,440
ASV92,25,40,39,91,124,12,108,439
ASV1879,118,122,4,12,61,50,72,439
ASV6880,43,51,101,64,85,64,30,438
ASV5238,222,46,0,21,80,57,10,436
ASV4238,60,13,16,61,10,231,44,435
ASV2903,21,36,93,46,67,60,111,434
ASV5172,36,68,78,73,87,39,53,434
ASV7035,0,33,21,184,13,58,125,434
ASV319,38,42,63,81,26,103,79,432
ASV5075,21,135,2,79,70,71,54,432
ASV2038,0,0,27,42,20,342,0,431
ASV741,30,98,74,95,64,33,36,430
ASV4509,31,62,79,81,64,46,65,428
ASV393,40,38,18,48,121,56,106,427
ASV3429,14,42,75,81,65,61,88,426
ASV11641,0,16,142,24,122,36,85,425
ASV5001,11,142,1,93,55,122,0,424
ASV1765,16,19,90,52,73,80,93,423
ASV2800,12,34,73,78,86,95,45,423
ASV12818,0,17,364,0,0,38,3,422
ASV3754,44,38,50,55,108,20,104,419
ASV8202,0,35,145,35,10,36,158,419
ASV3027,12,8,47,30,112,132,77,418
ASV869,24,30,112,51,12,116,71,416
ASV2389,6,24,25,68,136,49,107,415
ASV16792,1,27,83,16,77,86,125,415
ASV17091,0,415,0,0,0,0,0,415
ASV5958,19,57,86,85,68,61,38,414
ASV2648,33,95,82,46,58,72,25,411
ASV6936,21,63,53,45,100,31,97,410
ASV7784,53,43,96,81,43,59,35,410
ASV8282,11,216,13,39,37,32,62,410
ASV8452,8,43,83,74,80,58,64,410
ASV848,10,27,140,23,15,43,150,408
ASV1768,2,26,87,68,41,56,128,408
ASV3579,9,29,81,55,91,47,96,408
ASV17088,36,48,69,68,64,57,65,407
ASV1413,16,74,126,52,58,53,26,405
ASV14661,21,18,28,10,8,68,252,405
ASV4420,5,64,40,32,19,13,231,404
ASV4478,7,32,76,153,84,19,31,402
ASV16874,23,0,33,107,153,4,82,402
ASV21622,8,95,72,24,87,33,83,402
ASV7042,10,6,94,63,62,70,96,401
ASV1850,0,35,104,33,54,82,92,400
ASV2298,14,45,120,78,56,40,47,400
ASV19614,21,37,10,27,153,46,106,400
ASV209,8,26,109,55,107,39,55,399
ASV1814,77,15,0,21,248,19,19,399
ASV12239,41,198,1,103,10,37,9,399
ASV18492,4,0,184,32,5,134,40,399
ASV2475,23,56,68,79,79,60,33,398
ASV3061,15,9,186,54,0,133,0,397
ASV13793,9,14,98,55,38,130,52,396
ASV1215,22,57,41,48,84,50,93,395
ASV4353,174,46,24,17,51,32,51,395
ASV14108,28,34,55,41,60,73,104,395
ASV3108,0,27,100,66,145,52,4,394
ASV5058,13,59,79,30,50,110,53,394
ASV13273,27,139,38,130,17,37,6,394
ASV4273,37,15,80,62,90,38,71,393
ASV4946,34,16,71,63,26,166,17,393
ASV9505,6,31,70,74,96,68,48,393
ASV4780,0,99,51,76,53,46,66,391
ASV5279,3,16,30,100,72,7,163,391
ASV10183,10,37,99,94,95,44,12,391
ASV1750,5,0,384,0,0,0,0,389
ASV1008,3,47,2,109,139,0,87,387
ASV7077,0,0,15,25,58,32,257,387
ASV230,0,25,120,49,59,103,30,386
ASV3518,15,105,35,64,66,47,54,386
ASV3851,35,24,28,54,160,15,69,385
ASV4782,47,28,45,101,8,109,45,383
ASV11612,4,11,78,46,77,77,90,383
ASV8421,20,28,127,95,50,43,19,382
ASV2859,16,13,91,89,73,62,37,381
ASV10343,54,95,153,37,23,10,8,380
ASV15519,17,23,63,105,82,56,34,380
ASV15310,17,46,81,55,60,64,56,379
ASV17745,23,41,74,67,54,51,68,378
ASV24583,0,0,0,227,2,12,136,377
ASV5864,4,35,76,87,56,64,53,375
ASV8817,72,73,39,61,71,42,17,375
ASV2988,4,12,80,63,76,38,101,374
ASV5071,8,17,48,8,17,158,118,374
ASV8751,0,104,12,0,12,39,207,374
ASV16378,55,43,34,85,65,50,42,374
ASV17990,0,35,0,20,0,243,76,374
ASV1849,13,59,85,39,41,94,42,373
ASV5490,0,14,39,170,29,57,63,372
ASV18760,27,11,86,87,37,21,102,371
ASV6148,52,5,171,59,71,0,12,370
ASV589,0,3,88,25,116,73,64,369
ASV4226,0,47,46,22,10,235,9,369
ASV5813,10,19,77,87,97,13,66,369
ASV9837,0,147,0,93,103,25,0,368
ASV1047,0,31,36,37,105,117,41,367
ASV2168,0,0,0,342,0,25,0,367
ASV4337,0,48,107,46,48,117,0,366
ASV6927,26,58,102,38,64,63,15,366
ASV10247,8,70,40,57,123,10,58,366
ASV12713,5,1,19,251,1,57,32,366
ASV18158,0,0,18,186,4,39,119,366
ASV23164,12,22,57,42,68,134,30,365
ASV1264,10,84,4,32,63,165,6,364
ASV7775,32,87,86,71,33,25,29,363
ASV9949,0,26,84,84,24,30,115,363
ASV6741,14,49,94,126,19,3,56,361
ASV8512,0,23,140,14,105,47,32,361
ASV3648,49,34,93,31,65,50,38,360
ASV7920,28,62,57,20,103,16,74,360
ASV5065,26,7,25,37,129,123,12,359
ASV483,44,19,36,40,86,42,90,357
ASV2372,35,18,91,41,76,63,33,357
ASV4721,17,34,69,37,62,51,87,357
ASV836,95,27,71,33,70,23,37,356
ASV8454,0,0,0,12,45,10,289,356
ASV16916,0,301,2,12,18,15,8,356
ASV4685,4,9,84,0,45,149,64,355
ASV10655,58,45,49,38,29,58,78,355
ASV2865,0,218,84,0,26,21,5,354
ASV8920,20,8,107,16,147,4,52,354
ASV9311,6,116,2,0,5,225,0,354
ASV3912,0,43,45,54,77,53,81,353
ASV23199,39,12,116,40,141,0,3,351
ASV7640,5,40,81,60,95,24,45,350
ASV2151,38,11,100,21,39,17,123,349
ASV10838,9,38,40,8,3,249,2,349
ASV10939,18,45,16,21,8,126,115,349
ASV6419,0,0,6,0,0,342,0,348
ASV14912,20,29,40,88,87,13,71,348
ASV18099,0,183,65,21,0,79,0,348
ASV6667,0,0,1,45,125,2,173,346
ASV532,12,15,42,61,99,16,99,344
ASV10907,24,13,47,97,104,27,30,342
ASV3945,0,0,0,22,319,0,0,341
ASV4576,24,35,110,47,56,22,47,341
ASV22192,27,19,73,61,73,52,36,341
ASV9286,0,42,87,36,33,117,25,340
ASV11992,75,32,207,0,2,14,10,340
ASV725,1,0,112,112,49,44,21,339
ASV2169,12,207,10,41,11,35,23,339
ASV3010,0,118,26,35,25,106,28,338
ASV2409,0,112,15,32,25,9,144,337
ASV5311,0,30,77,45,74,53,58,337
ASV16882,0,35,20,10,25,159,88,337
ASV4084,3,15,33,160,11,49,65,336
ASV181,0,0,325,6,4,0,0,335
ASV3516,21,26,65,44,93,45,41,335
ASV8746,30,34,67,54,58,53,39,335
ASV9551,12,36,22,119,69,6,71,335
ASV3086,81,34,56,1,32,73,57,334
ASV4052,8,13,39,29,25,29,191,334
ASV5887,0,0,9,22,23,279,0,333
ASV5125,0,198,29,12,10,52,31,332
ASV8203,30,42,28,51,40,64,77,332
ASV5956,19,40,66,101,53,13,39,331
ASV6800,14,105,68,0,77,5,62,331
ASV7277,14,29,39,55,128,5,61,331
ASV13300,10,68,27,56,53,49,67,330
ASV4370,0,16,100,36,68,66,43,329
ASV4901,25,43,35,54,65,53,54,329
ASV15247,51,2,45,80,57,57,36,328
ASV6809,0,39,75,42,86,23,62,327
ASV8601,12,40,37,114,81,19,24,327
ASV12905,0,36,19,46,17,173,36,327
ASV8035,1,25,7,101,69,108,14,325
ASV2136,51,23,68,58,33,26,65,324
ASV6866,0,34,253,28,0,0,9,324
ASV7051,0,114,75,63,22,30,20,324
ASV12903,53,85,14,23,91,20,36,322
ASV2489,33,52,24,72,57,34,49,321
ASV5171,37,30,82,25,62,31,53,320
ASV7010,11,18,64,100,87,36,4,320
ASV8839,11,26,207,15,17,5,39,320
ASV5716,0,21,39,82,69,51,57,319
ASV10659,57,76,49,97,17,17,6,319
ASV3683,24,26,58,71,38,65,36,318
ASV9520,4,50,87,62,61,40,14,318
ASV13695,7,7,235,11,27,30,1,318
ASV488,13,34,55,42,80,68,25,317
ASV12926,0,254,34,0,29,0,0,317
ASV1697,3,8,14,70,52,32,137,316
ASV2747,43,24,42,36,94,37,40,316
ASV3828,0,71,0,33,66,66,80,316
ASV12261,32,31,44,81,33,48,47,316
ASV11907,9,11,78,54,58,34,71,315
ASV10730,0,4,94,65,22,123,6,314
ASV201,18,27,53,63,51,41,60,313
ASV897,55,37,69,32,47,35,38,313
ASV3273,6,8,68,104,56,37,34,313
ASV5227,31,18,32,62,76,46,48,313
ASV11591,18,36,46,27,45,60,81,313
ASV892,0,9,9,92,95,10,97,312
ASV3463,0,29,128,74,22,50,9,312
ASV7529,0,4,0,6,3,4,294,311
ASV2411,37,22,47,24,35,41,103,309
ASV2836,0,0,34,11,44,44,175,308
ASV5882,24,38,64,15,55,28,84,308
ASV15677,0,0,0,0,308,0,0,308
ASV2579,0,0,0,307,0,0,0,307
ASV9456,11,43,84,51,73,22,23,307
ASV802,14,216,11,12,14,33,6,306
ASV5483,1,19,31,6,7,240,2,306
ASV7436,4,26,64,37,96,25,54,306
ASV9485,0,0,4,111,6,141,43,305
ASV7243,0,0,75,207,18,4,0,304
ASV2717,0,0,0,303,0,0,0,303
ASV13470,0,14,50,101,49,46,43,303
ASV361,3,11,39,66,55,87,39,300
ASV1042,40,26,57,37,66,32,42,300
ASV3543,5,41,84,36,67,33,34,300
ASV3804,47,72,38,41,7,34,61,300
ASV4533,0,31,9,99,17,0,144,300
ASV13307,21,25,40,19,102,65,28,300
ASV16934,32,18,77,29,36,58,50,300
ASV24208,39,34,68,63,38,30,28,300
ASV2046,1,52,31,59,15,104,36,298
ASV4926,90,25,36,35,45,18,49,298
ASV16445,0,0,0,289,0,9,0,298
ASV15008,0,0,0,297,0,0,0,297
ASV1067,0,34,75,38,60,48,41,296
ASV4832,29,15,56,59,48,20,69,296
ASV3017,0,79,165,9,2,6,33,294
ASV16319,14,4,2,43,230,0,1,294
ASV8789,28,19,13,77,76,33,47,293
ASV12750,0,13,78,13,7,181,1,293
ASV13810,20,21,45,35,49,95,28,293
ASV1142,15,29,78,75,38,37,20,292
ASV2683,0,82,25,69,39,40,36,291
ASV452,29,18,56,55,51,30,51,290
ASV9339,0,0,0,275,12,0,3,290
ASV12919,11,41,71,18,29,51,69,290
ASV1988,0,11,78,50,46,44,60,289
ASV2471,0,15,4,29,35,62,144,289
ASV3590,13,51,59,34,58,36,38,289
ASV1239,0,0,0,0,0,0,288,288
ASV4426,12,48,58,25,47,71,27,288
ASV14281,37,18,41,38,38,75,41,288
ASV17877,0,7,21,57,135,39,29,288
ASV3452,27,42,19,20,75,34,70,287
ASV3199,0,0,0,240,0,17,29,286
ASV3417,0,35,61,19,37,45,89,286
ASV2029,29,46,37,16,38,39,80,285
ASV1402,2,5,139,13,21,44,60,284
ASV5435,0,0,233,0,0,51,0,284
ASV1178,109,22,7,0,14,122,9,283
ASV14947,0,0,164,33,86,0,0,283
ASV23662,0,32,70,22,67,33,59,283
ASV1030,19,3,26,37,55,36,106,282
ASV10739,11,0,0,221,0,48,2,282
ASV11959,11,27,44,67,63,13,57,282
ASV10430,34,10,65,63,56,42,11,281
ASV14596,18,5,48,38,75,58,39,281
ASV6839,9,0,105,141,25,0,0,280
ASV1085,0,2,3,10,184,0,80,279
ASV2332,59,43,86,13,71,4,3,279
ASV15228,0,3,0,0,276,0,0,279
ASV5972,0,45,4,3,1,0,225,278
ASV18144,47,40,29,66,41,40,14,277
ASV18819,0,47,78,42,70,17,23,277
ASV1290,0,18,72,16,5,52,113,276
ASV3169,13,17,69,43,24,49,61,276
ASV3983,0,240,0,0,16,11,9,276
ASV18413,0,17,133,14,95,13,4,276
ASV5880,0,0,0,0,0,0,275,275
ASV6723,24,57,39,58,22,44,31,275
ASV6797,5,63,16,35,109,40,7,275
ASV3344,41,13,62,23,50,41,44,274
ASV7662,6,8,55,63,20,58,64,274
ASV11026,80,20,31,40,31,57,15,274
ASV7664,6,23,44,18,35,58,89,273
ASV23011,0,24,7,5,10,187,40,273
ASV3858,12,40,28,65,61,46,20,272
ASV4759,67,8,96,12,0,72,17,272
ASV9933,7,2,0,105,54,42,62,272
ASV10133,64,0,94,63,19,24,8,272
ASV11122,34,14,45,32,71,35,40,271
ASV679,17,44,45,51,64,16,33,270
ASV862,0,0,270,0,0,0,0,270
ASV920,0,7,21,55,87,47,53,270
ASV2500,0,15,0,174,50,2,29,270
ASV6299,0,0,0,0,0,0,270,270
ASV2176,0,14,174,32,33,0,16,269
ASV2962,2,13,40,48,57,49,60,269
ASV9906,0,269,0,0,0,0,0,269
ASV11886,8,4,57,56,28,27,89,269
ASV14508,4,34,82,44,40,24,41,269
ASV15482,0,63,14,25,61,0,106,269
ASV2021,52,3,26,28,80,55,24,268
ASV1356,7,64,5,119,17,8,47,267
ASV4944,5,16,83,74,44,30,15,267
ASV6751,0,121,0,43,66,0,37,267
ASV15121,0,0,0,266,0,0,0,266
ASV5434,0,65,52,10,52,31,55,265
ASV12445,3,14,29,94,39,26,60,265
ASV2615,90,13,12,74,8,23,44,264
ASV3378,33,13,24,47,60,19,68,264
ASV3844,0,6,36,26,43,49,103,263
ASV5414,0,22,69,13,12,122,25,263
ASV10829,33,11,9,18,100,7,84,262
ASV19933,2,19,65,62,23,88,3,262
ASV643,0,27,32,45,26,65,66,261
ASV1797,19,32,40,55,81,21,13,261
ASV8334,11,5,6,120,20,94,5,261
ASV3048,7,20,26,20,42,21,124,260
ASV10704,95,0,2,11,22,6,124,260
ASV1400,0,23,30,45,24,28,109,259
ASV13742,0,0,62,0,108,79,10,259
ASV101,0,25,25,117,19,4,68,258
ASV26275,0,21,21,88,51,40,37,258
ASV4340,0,33,88,44,20,46,26,257
ASV6225,0,208,7,0,8,32,2,257
ASV11116,2,29,57,36,53,20,60,257
ASV14449,2,16,87,31,28,70,23,257
ASV14480,0,0,0,0,248,7,2,257
ASV19566,9,65,3,3,159,4,14,257
ASV3422,37,44,49,27,31,55,13,256
ASV3768,17,33,15,71,63,28,29,256
ASV10389,6,30,70,20,61,45,24,256
ASV8933,11,41,39,46,25,21,72,255
ASV21993,32,56,0,77,66,0,24,255
ASV512,4,33,48,49,14,40,66,254
ASV965,13,70,25,52,33,61,0,254
ASV6516,7,6,65,98,58,15,5,254
ASV12412,18,18,41,38,65,48,26,254
ASV15015,0,0,49,84,102,19,0,254
ASV25770,0,0,0,0,23,0,231,254
ASV2933,0,26,3,37,108,15,64,253
ASV3029,0,0,0,58,68,10,117,253
ASV3597,122,15,17,27,29,17,26,253
ASV8140,1,15,36,40,49,55,57,253
ASV253,8,26,67,5,2,110,34,252
ASV882,0,8,83,68,23,34,36,252
ASV10104,1,63,26,8,25,27,102,252
ASV11175,9,66,2,45,77,45,8,252
ASV3392,25,21,38,107,2,33,25,251
ASV4954,0,0,33,11,7,197,3,251
ASV10511,44,16,50,5,80,21,35,251
ASV11490,0,34,76,119,13,0,9,251
ASV11941,0,0,0,145,33,0,73,251
ASV385,26,19,25,60,33,52,35,250
ASV445,5,26,78,8,6,42,85,250
ASV4815,0,15,44,25,75,71,20,250
ASV15950,18,12,110,63,26,10,11,250
ASV195,0,113,0,37,0,69,30,249
ASV1786,4,21,65,20,34,33,72,249
ASV5780,10,44,36,55,49,19,36,249
ASV10409,4,14,82,30,21,43,54,248
ASV12995,19,0,7,52,153,4,13,248
ASV894,7,15,44,31,29,45,76,247
ASV1839,31,3,58,90,32,9,24,247
ASV9448,33,18,0,0,49,45,102,247
ASV11587,0,0,0,0,0,247,0,247
ASV2681,18,64,7,12,48,15,82,246
ASV6897,0,35,8,94,51,35,23,246
ASV6934,5,14,31,41,97,11,47,246
ASV2352,3,40,76,8,10,35,72,244
ASV7766,0,15,60,22,12,78,57,244
ASV19396,0,11,55,63,70,36,9,244
ASV23834,0,25,0,1,0,0,218,244
ASV16,3,28,57,39,70,5,41,243
ASV807,0,17,38,24,39,41,84,243
ASV5791,38,30,50,29,35,33,28,243
ASV7223,25,28,51,51,36,37,15,243
ASV19972,10,23,29,61,71,9,40,243
ASV4748,14,57,0,97,0,0,73,241
ASV11180,0,2,2,221,10,6,0,241
ASV12081,2,0,54,64,52,53,16,241
ASV18922,30,25,22,34,88,19,23,241
ASV156,15,19,50,32,36,22,66,240
ASV7698,2,48,94,16,6,19,55,240
ASV12525,0,26,26,30,75,24,59,240
ASV24512,11,2,21,51,28,0,127,240
ASV1426,1,7,67,43,115,0,6,239
ASV1575,3,23,17,36,24,0,136,239
ASV2330,21,25,32,44,23,51,42,238
ASV4626,6,6,82,21,52,69,2,238
ASV6729,0,0,128,0,3,78,29,238
ASV14257,7,27,53,15,61,60,15,238
ASV17007,12,38,19,91,48,16,14,238
ASV422,6,13,53,98,19,15,33,237
ASV5463,29,16,18,56,61,36,21,237
ASV10316,0,25,19,122,45,15,11,237
ASV61,11,27,43,37,24,40,54,236
ASV1424,0,187,0,0,0,49,0,236
ASV1946,31,38,43,41,41,22,20,236
ASV2172,9,2,77,35,23,17,73,236
ASV5334,8,10,58,31,53,25,51,236
ASV611,24,18,48,21,35,56,33,235
ASV11653,5,51,30,20,46,30,53,235
ASV269,0,53,68,41,13,29,30,234
ASV3329,0,31,17,33,51,18,84,234
ASV5461,4,39,65,27,20,42,37,234
ASV5820,1,24,36,68,33,20,52,234
ASV7729,12,9,47,35,15,49,67,234
ASV12454,24,0,47,21,36,41,65,234
ASV3085,0,29,11,0,47,15,131,233
ASV9556,0,71,85,10,21,33,13,233
ASV18841,74,50,0,66,11,0,32,233
ASV463,13,32,49,50,32,14,42,232
ASV719,7,14,64,11,37,20,79,232
ASV19232,0,15,0,175,9,1,32,232
ASV3173,27,31,24,42,37,45,25,231
ASV5010,9,15,37,28,48,81,13,231
ASV6138,10,0,32,20,64,43,61,230
ASV7207,2,10,34,94,21,8,61,230
ASV7677,8,24,63,24,26,14,71,230
ASV225,5,27,30,47,26,31,63,229
ASV6989,5,14,41,42,32,39,55,228
ASV10985,28,13,52,30,30,45,30,228
ASV12098,12,23,58,34,15,38,48,228
ASV13036,2,8,54,143,21,0,0,228
ASV21118,19,29,30,23,89,12,26,228
ASV22626,17,24,44,54,15,27,47,228
ASV391,7,37,47,21,39,25,51,227
ASV3299,30,0,0,5,77,105,10,227
ASV8498,4,12,53,4,19,67,68,227
ASV9347,5,12,84,25,3,70,27,226
ASV13279,0,0,0,1,11,213,1,226
ASV1385,0,23,31,31,28,23,89,225
ASV4583,30,53,26,20,56,21,19,225
ASV14317,3,8,37,27,34,65,51,225
ASV17568,58,21,29,50,36,11,20,225
ASV19420,0,9,13,13,3,0,187,225
ASV1182,0,4,79,0,100,26,15,224
ASV17928,0,0,34,40,106,21,23,224
ASV8296,0,13,19,32,71,21,67,223
ASV9186,28,17,38,31,49,22,38,223
ASV22426,21,40,70,36,18,24,14,223
ASV2018,24,26,29,29,52,37,25,222
ASV2709,0,105,13,8,0,30,66,222
ASV21414,10,11,53,72,41,23,12,222
ASV10982,40,0,66,30,48,15,22,221
ASV42,27,16,34,34,32,28,49,220
ASV3862,11,0,0,12,146,2,49,220
ASV2824,10,47,39,41,23,22,37,219
ASV3054,49,26,40,23,14,59,8,219
ASV7085,0,21,47,43,34,56,18,219
ASV16572,0,204,0,0,15,0,0,219
ASV306,9,26,42,31,31,26,53,218
ASV1812,30,34,17,31,62,21,23,218
ASV3741,6,23,47,34,22,29,57,218
ASV5251,18,29,49,10,53,30,29,218
ASV5770,0,11,56,61,17,33,40,218
ASV1862,0,24,41,39,5,75,33,217
ASV4976,5,0,39,75,53,24,21,217
ASV8279,11,0,59,0,34,112,1,217
ASV1169,0,0,12,8,6,166,24,216
ASV2907,48,11,36,14,40,36,31,216
ASV11065,0,0,157,22,0,37,0,216
ASV480,0,0,21,45,59,67,23,215
ASV1923,5,0,77,36,53,14,30,215
ASV7158,17,15,34,4,79,25,41,215
ASV12004,9,11,52,28,20,73,22,215
ASV14086,0,13,53,30,11,76,32,215
ASV135,24,23,50,20,70,1,26,214
ASV10844,3,52,26,13,4,29,87,214
ASV2763,26,36,37,35,10,60,9,213
ASV5336,0,0,32,18,121,25,17,213
ASV6619,9,20,18,40,31,38,57,213
ASV7526,0,89,8,14,21,6,75,213
ASV10045,18,61,25,39,25,0,45,213
ASV18117,5,23,35,49,58,0,43,213
ASV839,30,30,16,38,31,20,47,212
ASV1014,0,0,0,101,15,23,73,212
ASV3467,0,86,50,11,20,27,18,212
ASV3582,15,10,26,25,64,39,33,212
ASV5113,13,105,0,18,5,63,8,212
ASV10309,9,48,0,137,18,0,0,212
ASV11674,8,19,41,50,45,25,24,212
ASV12095,0,11,37,76,26,39,23,212
ASV14275,53,0,60,9,10,42,38,212
ASV19336,13,87,112,0,0,0,0,212
ASV1205,0,60,94,26,18,0,13,211
ASV1346,0,0,121,34,54,0,2,211
ASV1987,0,8,3,152,35,0,13,211
ASV10804,0,1,104,106,0,0,0,211
ASV4113,8,25,48,45,21,36,27,210
ASV7810,4,28,55,16,17,34,56,210
ASV2386,0,16,33,5,61,34,60,209
ASV5962,0,0,164,5,26,14,0,209
ASV8151,0,36,81,4,9,76,3,209
ASV9429,0,16,2,82,28,57,24,209
ASV523,58,14,18,25,37,11,45,208
ASV549,0,17,42,25,37,27,60,208
ASV847,0,0,30,15,88,67,7,207
ASV5825,0,10,37,16,37,35,72,207
ASV7391,9,21,11,78,31,21,36,207
ASV12618,0,0,147,0,0,60,0,207
ASV14126,8,9,28,28,73,3,58,207
ASV5134,15,32,8,20,103,2,26,206
ASV6489,19,31,24,19,22,47,44,206
ASV10586,0,31,16,32,61,4,62,206
ASV12265,0,8,0,29,14,0,155,206
ASV6271,13,30,14,37,80,6,25,205
ASV13866,0,1,12,27,0,145,20,205
ASV16245,4,58,139,4,0,0,0,205
ASV3178,28,17,46,22,40,9,42,204
ASV814,21,8,23,45,1,84,21,203
ASV1712,3,3,25,42,18,21,91,203
ASV4102,12,24,31,33,46,7,50,203
ASV8139,28,0,131,17,22,0,5,203
ASV9923,16,9,42,40,6,11,79,203
ASV2295,15,0,19,71,27,14,54,200
ASV2625,13,10,3,5,19,29,121,200
ASV4081,4,31,15,16,64,19,51,200
ASV14638,23,24,29,19,49,18,38,200
ASV21891,3,51,15,18,0,32,81,200
ASV3815,9,0,74,17,19,68,12,199
ASV7992,0,63,49,11,9,25,42,199
ASV12869,0,24,13,38,52,16,56,199
ASV2620,0,50,45,46,9,42,6,198
ASV6857,1,0,161,8,28,0,0,198
ASV11093,0,64,53,30,7,32,12,198
ASV671,4,0,93,16,4,47,33,197
ASV1274,3,28,64,16,15,19,52,197
ASV4663,0,2,24,44,22,77,27,196
ASV8606,12,13,84,16,49,3,19,196
ASV11078,32,10,49,65,3,16,21,196
ASV11227,18,22,41,24,58,22,11,196
ASV12861,0,68,30,37,41,0,20,196
ASV15949,2,7,16,67,19,10,75,196
ASV22084,0,0,0,0,0,0,196,196
ASV1468,11,41,43,27,30,0,43,195
ASV26574,59,0,38,55,0,33,10,195
ASV8436,24,21,40,28,2,28,51,194
ASV12277,0,19,51,21,22,50,31,194
ASV12975,0,41,10,20,76,17,30,194
ASV6029,11,34,43,16,19,41,29,193
ASV13150,0,43,24,28,33,4,61,193
ASV23332,0,31,56,34,34,6,32,193
ASV120,3,13,24,7,2,112,31,192
ASV2078,0,0,35,15,9,9,124,192
ASV2416,0,35,34,32,10,41,40,192
ASV4114,15,8,52,18,99,0,0,192
ASV4120,2,9,37,50,40,33,20,191
ASV7453,25,50,18,24,27,39,8,191
ASV11255,11,3,29,42,43,22,41,191
ASV1443,11,37,34,43,8,23,34,190
ASV2200,7,20,42,0,18,103,0,190
ASV18529,4,52,101,20,5,8,0,190
ASV12146,49,58,15,13,23,6,25,189
ASV13426,0,0,0,189,0,0,0,189
ASV339,5,15,59,23,46,19,21,188
ASV565,0,0,7,11,14,23,133,188
ASV1502,4,0,0,120,0,9,55,188
ASV5184,21,50,5,33,72,0,7,188
ASV9312,8,34,28,21,20,77,0,188
ASV693,3,10,40,82,18,12,22,187
ASV3146,12,6,41,35,26,31,36,187
ASV7285,0,31,61,0,16,47,32,187
ASV9857,0,9,39,28,29,24,58,187
ASV13395,0,10,30,7,45,31,64,187
ASV21409,0,4,20,78,17,67,1,187
ASV5832,3,0,26,45,46,28,38,186
ASV8886,21,7,35,12,23,59,29,186
ASV2499,23,15,32,44,41,30,0,185
ASV6660,5,11,19,46,79,12,13,185
ASV9129,0,15,32,41,53,9,35,185
ASV9237,0,45,37,16,18,53,16,185
ASV1442,0,18,22,19,34,44,47,184
ASV3143,0,0,0,0,0,20,164,184
ASV5458,22,27,12,19,69,14,21,184
ASV10349,0,0,101,5,59,0,19,184
ASV806,25,11,33,6,13,47,48,183
ASV5761,0,21,53,11,28,20,50,183
ASV8519,51,0,5,0,4,79,44,183
ASV11131,3,4,43,18,34,27,54,183
ASV15556,8,0,127,0,4,44,0,183
ASV18239,12,0,0,68,101,0,2,183
ASV11,0,16,30,47,31,18,40,182
